source,target,status,art,note
/fr/produit/concrete-mix/,/fr/produkte/rapid-set-concrete-mix/,301,produkt,Alt-Slug abweichend (concrete-mix)
/fr/produit/concrete-pharmacy/,/fr/produkte/rapid-set-concrete-pharmacy/,301,produkt,Alt-Slug abweichend (concrete-pharmacy)
/fr/produit/dot-europe-concrete-mix/,/fr/produkte/dot-europe-concrete-mix/,301,produkt,
/fr/produit/durop/,/fr/produkte/korodur-durop/,301,produkt,Alt-Slug abweichend (durop)
/fr/produit/granidur-bianco-nero/,/fr/produkte/granidur-bianco-nero/,301,produkt,
/fr/produit/granidur/,/fr/produkte/granidur/,301,produkt,
/fr/produit/koroclean/,/fr/produkte/koroclean/,301,produkt,
/fr/produit/korocure/,/fr/produkte/korocure/,301,produkt,
/fr/produit/korodur-0-4/,/fr/produkte/korodur-0-4/,301,produkt,
/fr/produit/korodur-copetti-floor-kcf/,/fr/produkte/kcf/,301,produkt,Alt-Slug abweichend (korodur-copetti-floor-kcf)
/fr/produit/korodur-diamond-concrete/,/fr/produkte/korodur-diamantbeton/,301,produkt,Alt-Slug abweichend (korodur-diamond-concrete)
/fr/produit/korodur-easyfinish/,/fr/produkte/korodur-easyfinish/,301,produkt,
/fr/produit/korodur-fscem-screed/,/fr/produkte/korodur-fscem-screed/,301,produkt,
/fr/produit/korodur-fscem/,/fr/produkte/korodur-fscem/,301,produkt,
/fr/produit/korodur-hb-5-rapid/,/fr/produkte/korodur-hb-5-rapid/,301,produkt,
/fr/produit/korodur-hb-5/,/fr/produkte/korodur-hb-5/,301,produkt,
/fr/produit/korodur-nanofinish/,/fr/produkte/korodur-nanofinish/,301,produkt,
/fr/produit/korodur-pc/,/fr/produkte/korodur-pc/,301,produkt,
/fr/produit/korodur-txpk/,/fr/produkte/korodur-txpk/,301,produkt,
/fr/produit/korodur-uniprimer/,/fr/produkte/korodur-uniprimer/,301,produkt,
/fr/produit/korodur-vs-0-5/,/fr/produkte/korodur-vs-0-5/,301,produkt,
/fr/produit/korodur-wh-metallic/,/fr/produkte/korodur-wh-metallisch/,301,produkt,Alt-Slug abweichend (korodur-wh-metallic)
/fr/produit/korodur-wh-special/,/fr/produkte/korodur-wh-spezial/,301,produkt,Alt-Slug abweichend (korodur-wh-special)
/fr/produit/koromineral-cure/,/fr/produkte/koromineral-cure/,301,produkt,
/fr/produit/koromineral-li/,/fr/produkte/koromineral-li/,301,produkt,
/fr/produit/koromineral/,/fr/produkte/koromineral/,301,produkt,
/fr/produit/korotex/,/fr/produkte/korotex/,301,produkt,
/fr/produit/levelflor/,/fr/produkte/rapid-set-levelflor/,301,produkt,Alt-Slug abweichend (levelflor)
/fr/produit/microtop-tw-2/,/fr/produkte/microtop-tw-02/,301,produkt,Alt-Slug abweichend (microtop-tw-2)
/fr/produit/microtop-tw-3/,/fr/produkte/microtop-tw-3/,301,produkt,
/fr/produit/microtop-tw-5/,/fr/produkte/microtop-tw-5/,301,produkt,
