id,name,bereich,ableitung,neubau_refs,sanierung_refs,referenz_slugs
granidur-bianco-nero,"GRANIDUR BIANCO/NERO",sichtestrich,beide,6,1,"verwaltungsgebaeude-laehitapiola-espoo kaiserhof-koeln fazer-besucherzentrum-vantaa-finnland heidelberger-cement-ag-heidelberg kongresszentrum-dipoli-espoo-finnland leica-firmenzentrale-wetzlar restaurant-mueli-muelligen-schweiz"
kcf,"KORODUR COPETTI FLOOR KCF",sichtestrich,neubau,6,0,"artofchocolate-schwarzach-u-wertheim libeskind-villa-datteln mensa-hochschule-weiden nationalarchiv-tartu-estland verwaltungsgebaeude-moedel-amberg weingut-am-nil-kallstadt"
tru-pc,"TRU PC",sichtestrich,neubau,5,0,"baeckerei-konditorei-schmidtmeier-bochum brauerei-bernard-humpolec-tschechien sportano-polen suntago-village-swinice-polen under-armoure-store-wisconsin-usa"
tru-self-leveling,"TRU Self-Leveling",sichtestrich,beide,8,2,"nike-store-polen aunn-cafe-shanghai-china balenciaga-flagship-store-miami-usa escada-muenchen hotel-puro-krakow-polen nike-shop-kaunas-litauen phoenix-media-mall-suzhou-china showroom-bonsai-group-guernsey-uk showroom-oldtimer-kalifornien-usa truazzo-isabel-marant-store-wien-oesterreich"
tru-sp,"TRU SP",sichtestrich,keine,0,0,""
neodur-msb-8,"NEODUR MSB 8",spezialbaustoffe,keine,0,0,""
neodur-msm-3,"NEODUR MSM 3",spezialbaustoffe,keine,0,0,""
neodur-msm-5,"NEODUR MSM 5",spezialbaustoffe,keine,0,0,""
neodur-pfm-1k-easyfix,"NEODUR PFM 1K Easyfix",spezialbaustoffe,neubau,1,0,"hauptbahnhofsvorplatz-landau"
neodur-pfm-ze,"NEODUR PFM-ZE",spezialbaustoffe,keine,0,0,""
neodur-svm-03,"NEODUR SVM 03",spezialbaustoffe,keine,0,0,""
neodur-svm-4,"NEODUR SVM 4",spezialbaustoffe,keine,0,0,""
neodur-vm-1,"NEODUR VM 1 / VM 3 / VB 8",spezialbaustoffe,keine,0,0,""
neodur-vm-5,"NEODUR VM 5",spezialbaustoffe,keine,0,0,""
neodur-vm-basic,"NEODUR VM basic",spezialbaustoffe,keine,0,0,""
